index,movie_title,movie_year,movie_rating,movie_votes_count,title_word_count,link_url
877,Zelig,1983,7.7,41391,1,https://www.imdb.com/title/tt0086637/
878,The Verdict,1982,7.7,38548,2,https://www.imdb.com/title/tt0084855/
879,Star Trek II: The Wrath of Khan,1982,7.7,117571,7,https://www.imdb.com/title/tt0084726/
880,First Blood,1982,7.7,240772,2,https://www.imdb.com/title/tt0083944/
881,Ordinary People,1980,7.7,50059,2,https://www.imdb.com/title/tt0081283/
882,Airplane!,1980,7.7,227135,1,https://www.imdb.com/title/tt0080339/
883,Halloween,1978,7.7,260249,1,https://www.imdb.com/title/tt0077651/
884,Nashville,1975,7.7,25492,1,https://www.imdb.com/title/tt0073440/
885,Love and Death,1975,7.7,37718,3,https://www.imdb.com/title/tt0073312/
886,The Taking of Pelham One Two Three,1974,7.7,29480,7,https://www.imdb.com/title/tt0072251/
887,Blazing Saddles,1974,7.7,133394,2,https://www.imdb.com/title/tt0071230/
888,Serpico,1973,7.7,118056,1,https://www.imdb.com/title/tt0070666/
889,Enter the Dragon,1973,7.7,101720,3,https://www.imdb.com/title/tt0070034/
890,Deliverance,1972,7.7,104514,1,https://www.imdb.com/title/tt0068473/
891,The French Connection,1971,7.7,117367,3,https://www.imdb.com/title/tt0067116/
892,Dirty Harry,1971,7.7,150794,2,https://www.imdb.com/title/tt0066999/
893,The Odd Couple,1968,7.7,33887,3,https://www.imdb.com/title/tt0063374/
894,The Dirty Dozen,1967,7.7,70638,3,https://www.imdb.com/title/tt0061578/
895,Belle de Jour,1967,7.7,42856,3,https://www.imdb.com/title/tt0061395/
896,A Man for All Seasons,1966,7.7,33577,5,https://www.imdb.com/title/tt0060665/
897,Repulsion,1965,7.7,51786,1,https://www.imdb.com/title/tt0059646/
898,Zulu,1964,7.7,38081,1,https://www.imdb.com/title/tt0058777/
899,Goldfinger,1964,7.7,183609,1,https://www.imdb.com/title/tt0058150/
900,The Birds,1963,7.7,181731,2,https://www.imdb.com/title/tt0056869/
901,Cape Fear,1962,7.7,28164,2,https://www.imdb.com/title/tt0055824/
902,Peeping Tom,1960,7.7,33913,2,https://www.imdb.com/title/tt0054167/
903,The Magnificent Seven,1960,7.7,92181,3,https://www.imdb.com/title/tt0054047/
904,Les yeux sans visage,1960,7.7,30249,4,https://www.imdb.com/title/tt0053459/
905,Invasion of the Body Snatchers,1956,7.7,47915,5,https://www.imdb.com/title/tt0049366/
906,Rebel Without a Cause,1955,7.7,87691,4,https://www.imdb.com/title/tt0048545/
907,The Ladykillers,1955,7.7,28494,2,https://www.imdb.com/title/tt0048281/
908,The Caine Mutiny,1954,7.7,26956,3,https://www.imdb.com/title/tt0046816/
909,The Day the Earth Stood Still,1951,7.7,80157,6,https://www.imdb.com/title/tt0043456/
910,Fantasia,1940,7.7,92818,1,https://www.imdb.com/title/tt0032455/
911,The Invisible Man,1933,7.7,33587,3,https://www.imdb.com/title/tt0024184/
912,Dark Waters,2019,7.6,77381,2,https://www.imdb.com/title/tt9071322/
913,Searching,2018,7.6,154801,1,https://www.imdb.com/title/tt7668870/
914,Once Upon a Time... In Hollywood,2019,7.6,655849,6,https://www.imdb.com/title/tt7131622/
915,Loveless,2017,7.6,32056,1,https://www.imdb.com/title/tt6304162/
916,Train to Busan,2016,7.6,197194,3,https://www.imdb.com/title/tt5700672/
917,The Florida Project,2017,7.6,105749,3,https://www.imdb.com/title/tt5649144/
918,Just Mercy,2019,7.6,59002,2,https://www.imdb.com/title/tt4916630/
919,Gifted,2017,7.6,109539,1,https://www.imdb.com/title/tt4481414/
920,Victoria,2015,7.6,56621,1,https://www.imdb.com/title/tt4226388/
921,Guardians of the Galaxy Vol. 2,2017,7.6,623235,6,https://www.imdb.com/title/tt3896198/
922,Only the Brave,2017,7.6,64610,3,https://www.imdb.com/title/tt3829920/
923,Incredibles 2,2018,7.6,273964,2,https://www.imdb.com/title/tt3606756/
924,Moana,2016,7.6,303321,1,https://www.imdb.com/title/tt3521164/
925,Sicario,2015,7.6,403738,1,https://www.imdb.com/title/tt3397884/
